title,Year_of_release,Genre,movie_runtime,IMDB_rating,IMDB_votes,Cast_&_Crew
3 Idiots,2009," Comedy, Drama            ",170 min,  8.4 ,364393,"     Director: Rajkumar Hirani |      Stars: Aamir Khan,  Madhavan,  Mona Singh,  Sharman Joshi "
Taare Zameen Par,2007," Drama, Family            ",165 min,  8.4 ,179112,"     Directors: Aamir Khan,  Amole Gupte |      Stars: Darsheel Safary,  Aamir Khan,  Tisca Chopra,  Vipin Sharma "
PK,2014," Comedy, Drama, Musical            ",153 min,  8.1 ,171076,"     Director: Rajkumar Hirani |      Stars: Aamir Khan,  Anushka Sharma,  Sanjay Dutt,  Boman Irani "
Radhe,2021," Action, Crime, Thriller            ",135 min,  1.8 ,169883,"     Director: Prabhu Deva |      Stars: Salman Khan,  Disha Patani,  Randeep Hooda,  Jackie Shroff "
Dangal,2016," Action, Biography, Drama            ",161 min,  8.4 ,169158,"     Director: Nitesh Tiwari |      Stars: Aamir Khan,  Sakshi Tanwar,  Fatima Sana Shaikh,  Sanya Malhotra "
Dil Bechara,2020," Comedy, Drama, Romance            ",101 min,  8.1 ,122344,"     Director: Mukesh Chhabra |      Stars: Sushant Singh Rajput,  Sanjana Sanghi,  Sahil Vaid,  Saswata Chatterjee "
Rang De Basanti,2006," Comedy, Crime, Drama            ",167 min,  8.1 ,115948,"     Director: Rakeysh Omprakash Mehra |      Stars: Aamir Khan,  Soha Ali Khan,  Siddharth,  Sharman Joshi "
Lagaan: Once Upon a Time in India,2001," Drama, Musical, Sport            ",224 min,  8.1 ,108760,"     Director: Ashutosh Gowariker |      Stars: Aamir Khan,  Raghuvir Yadav,  Gracy Singh,  Rachel Shelley "
My Name Is Khan,2010, Drama            ,165 min,  8.0 ,102158,"     Director: Karan Johar |      Stars: Shah Rukh Khan,  Kajol,  Sheetal Menon,  Katie A. Keane "
Sadak 2,2020," Action, Drama            ",133 min,  1.1 ,88873,"     Director: Mahesh Bhatt |      Stars: Alia Bhatt,  Priyanka Bose,  Sanjay Dutt,  Aditya Roy Kapoor "
Gangs of Wasseypur,2012," Action, Crime, Drama            ",321 min,  8.2 ,88669,"     Director: Anurag Kashyap |      Stars: Manoj Bajpayee,  Richa Chadha,  Nawazuddin Siddiqui,  Tigmanshu Dhulia "
